MsgID.GLOBAL_POSITION,0.0000000,-122.3974464,37.7924812,3.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,295.0010000,0.1384016,0.3138570,-3.0825484
MsgID.LOCAL_VELOCITY,295.0010000,-0.0000094,0.0000516,-0.0000308
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974453,37.7924822,3.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,295.2510000,0.2463977,0.4137901,-3.0826411
MsgID.LOCAL_VELOCITY,295.2510000,0.0000221,0.0000100,0.0000887
MsgID.GLOBAL_POSITION,0.0000000,-122.3974463,37.7924814,3.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,295.5010000,0.1620413,0.3200432,-3.0827625
MsgID.LOCAL_VELOCITY,295.5010000,0.0000006,0.0000469,0.0000784
MsgID.GLOBAL_POSITION,0.0000000,-122.3974478,37.7924799,3.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,295.7520000,-0.0044352,0.1901378,-3.0828238
MsgID.LOCAL_VELOCITY,295.7520000,0.0000064,-0.0000041,0.0000839
MsgID.GLOBAL_POSITION,0.0000000,-122.3974452,37.7924807,3.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,296.0020000,0.0837937,0.4219648,-3.0828063
MsgID.LOCAL_VELOCITY,296.0020000,0.0000079,0.0000187,0.0000992
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974448,37.7924821,3.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,296.2520000,0.2378970,0.4597006,-3.0827253
MsgID.LOCAL_VELOCITY,296.2520000,0.0000123,-0.0000001,0.0000737
MsgID.GLOBAL_POSITION,0.0000000,-122.3974455,37.7924816,3.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,296.5020000,0.1887307,0.3985316,-3.0826099
MsgID.LOCAL_VELOCITY,296.5020000,-0.0000048,0.0000448,0.0000767
MsgID.GLOBAL_POSITION,0.0000000,-122.3974476,37.7924811,3.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,296.7520000,0.1251496,0.2125791,-3.0825367
MsgID.LOCAL_VELOCITY,296.7520000,0.0000049,0.0000276,0.0001078
MsgID.GLOBAL_POSITION,0.0000000,-122.3974473,37.7924808,3.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,297.0020000,0.0921800,0.2356652,-3.0825028
MsgID.LOCAL_VELOCITY,297.0020000,0.0000004,-0.0000066,0.0000837
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974461,37.7924800,3.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,297.2520000,0.0067267,0.3440429,-3.0824990
MsgID.LOCAL_VELOCITY,297.2520000,0.0000088,0.0000241,0.0000948
MsgID.GLOBAL_POSITION,0.0000000,-122.3974465,37.7924814,3.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,297.5020000,0.1578039,0.3062800,-3.0824990
MsgID.LOCAL_VELOCITY,297.5020000,0.0000147,-0.0000043,0.0000549
MsgID.GLOBAL_POSITION,0.0000000,-122.3974466,37.7924813,3.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,297.7520000,0.1463981,0.2999815,-3.0824990
MsgID.LOCAL_VELOCITY,297.7520000,0.0000128,0.0000003,-0.0000342
MsgID.GLOBAL_POSITION,0.0000000,-122.3974466,37.7924812,3.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,298.0020000,0.1335575,0.2998275,-3.0824990
MsgID.LOCAL_VELOCITY,298.0020000,-0.0000066,-0.0000060,0.0000109
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974466,37.7924813,3.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,298.2520000,0.1522798,0.2998110,-3.0824990
MsgID.LOCAL_VELOCITY,298.2520000,0.0000169,0.0000253,0.0000744
MsgID.GLOBAL_POSITION,0.0000000,-122.3974466,37.7924825,3.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,298.5020000,0.2844399,0.3001449,-3.0824990
MsgID.LOCAL_VELOCITY,298.5020000,-0.0000020,0.0000744,0.0000384
MsgID.GLOBAL_POSITION,0.0000000,-122.3974466,37.7924817,3.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,298.7520000,0.1930824,0.2999511,-3.0826688
MsgID.LOCAL_VELOCITY,298.7520000,0.0000099,0.0000212,0.0001007
